mp-id,formula,n,band_gap,poly_total,poly_electronic
mp-12535,K2ZnTe2,2.21,2.05,9.55,4.89
mp-30284,HgAsO3,2.21,1.24,13.7,4.88
mp-20463,CaPbF6,1.44,3.46,5.49,2.06
mp-16337,Ga2HgTe4,3.47,0.66,16.56,12.07
mp-3042,K2SiF6,1.36,7.22,5.95,1.86
mp-23350,Rb2PtCl6,1.76,1.94,6.7,3.08
mp-540957,Cs2TeI6,2.2,1.39,12.91,4.84
mp-14983,Si4P4Ru,3.89,1.46,18.45,15.17
mp-23804,Mg2FeH6,2.34,1.91,17.13,5.5
mp-568544,CsCdCl3,1.85,1.75,13.51,3.41
mp-20782,LiInTe2,2.68,1.38,10.12,7.21
mp-8411,Na2AgAs,3.4,0.73,20.65,11.57
mp-15724,KNa2Sb,3.02,0.67,19.41,9.14
mp-9573,NaBeAs,2.87,1.28,12.61,8.23
mp-7223,Ca3AsN,3.13,0.72,38.3,9.79
mp-13275,NaSrP,2.8,1.24,18.47,7.87
mp-28171,K3IO,1.8,1.03,9.74,3.26
mp-23059,Rb2SnCl6,1.65,2.54,8.61,2.73
mp-559408,NiPbF6,1.69,2.23,6.21,2.86
mp-9124,LiZnAs,3.99,0.55,22.95,15.95
mp-27716,KTlO,2.23,1.17,10.75,4.97
mp-8208,Mg(PtO2)3,3.87,0.3,17.42,15.02
mp-27207,K2MgCl4,1.59,4.77,10.65,2.52
mp-862631,Ba2SbAu,4.34,0.6,32.41,18.82
mp-15685,Na2CuAs,3.4,0.66,21.01,11.59
mp-7773,Na2AsAu,3.99,0.42,26.87,15.93
mp-18946,VBO3,2.14,1.82,9.62,4.6
mp-641923,Cs2SnBr6,1.79,1.44,8.22,3.22
mp-27691,K2PtBr6,1.98,1.17,14.61,3.93
mp-11022,ScAgO2,2.42,2.12,13.81,5.84
mp-8256,ZnPtF6,1.81,2.08,6.06,3.27
mp-5986,BaTiO3,2.43,1.73,11.53,5.91
mp-9915,LiBeP,2.88,1.16,15.24,8.27
mp-30530,TlClO4,1.58,4.57,21.9,2.51
mp-4280,GaCuO2,2.42,0.98,10.5,5.84
mp-7288,Sc2SO2,2.52,2.01,18.37,6.36
mp-3642,ScCuO2,2.43,2.33,14.02,5.91
mp-28166,K3BrO,1.73,0.89,15.68,3.01
mp-541044,CsYO2,2.02,2.85,20.77,4.08
mp-8098,InGaO3,2.15,1.34,13.02,4.62
mp-14070,RbAlO2,1.67,3.37,24.01,2.79
mp-4187,Ge2N2O,2.03,2.6,7.73,4.13
mp-867194,Sr(MgAs)2,2.97,1.35,15.39,8.85
mp-28797,YHSe,2.96,1.51,14.74,8.77
mp-10572,NaPN2,2.01,4.68,9.91,4.02
mp-753594,BiOF,2.26,2.64,14.74,5.09
mp-20015,As2PbO6,2.13,2.14,19.88,4.53
mp-3614,KTaO3,2.34,2.1,8.81,5.48
mp-555123,KMnF3,1.49,2.66,13.39,2.22
mp-28994,KLi2As,2.53,0.69,11.93,6.39
mp-23036,K2SeBr6,2.04,1.69,21.27,4.18
mp-19225,FeAgO2,2.69,1.13,13.49,7.24
mp-557938,HfVF6,1.47,3.22,4.52,2.18
mp-6948,KNaO,1.8,2.13,15.8,3.23
mp-8922,Cd(SbO3)2,2.06,1.41,11.29,4.24
mp-558838,NiPtF6,1.79,2.04,5.08,3.22
mp-560976,KNiF3,1.53,4.55,7.24,2.33
mp-4824,NaZnP,3.07,0.91,18.7,9.45
mp-5782,AlAgS2,2.4,1.9,8.44,5.76
mp-8751,RbLiS,1.94,2.75,8.91,3.77
mp-16763,KYTe2,2.56,1.3,13.64,6.54
mp-8818,Ca2ZnN2,2.52,0.76,15.99,6.34
mp-15794,LiYSe2,2.61,1.52,21.15,6.79
mp-8752,Na4CdP2,2.47,0.74,9.84,6.1
mp-9821,RbSbF6,1.41,4.88,5.92,1.97
mp-3924,LiNbO2,2.95,1.58,16.46,8.7
mp-8703,Na3SbSe4,2.45,0.98,16.95,6.02
mp-3524,LiPN2,2.06,3.8,9.37,4.24
mp-10246,Na2PtS2,2.5,1.14,12.29,6.24
mp-8720,Rb2MnTe2,2.17,0.96,8.78,4.71
mp-541989,Na2CN2,1.64,3.04,6.69,2.71
mp-9731,RbAuSe,2.1,1.73,10.88,4.43
mp-7642,K2AgAs,2.64,1.07,12.68,6.98
mp-755293,Sr4Sb2O,2.92,0.98,19.13,8.54
mp-25010,NaMnO2,2.11,1.25,27.41,4.45
mp-8446,K2CuP,2.55,1.14,12.75,6.52
mp-7770,Sr(ZnAs)2,3.93,0.26,24.72,15.47
mp-553303,CsCu3O2,2.14,1.46,9.24,4.58
mp-27827,Rb2TiCl6,1.75,2.15,8.62,3.07
mp-11719,K4ZnP2,2.16,0.95,8.63,4.69
mp-4784,CaPtO3,2.7,1.28,14.04,7.31
mp-697096,Na2H4Pt,1.86,2.11,7.32,3.45
mp-7910,Al2HgTe4,3.07,1.11,13.59,9.41
mp-13610,ZnPbF6,1.71,1.96,7.55,2.91
mp-14091,AlAgSe2,2.65,1.14,9.7,7.05
mp-6960,Rb2SiAs2,2.49,0.96,10.75,6.18
mp-15684,K2CuAs,2.63,1.07,12.71,6.9
mp-555359,KMnF3,1.49,2.78,9.96,2.23
mp-22975,Rb2TeCl6,1.77,2.64,10.94,3.12
mp-697044,Ba2H6Os,2.1,1.97,11.68,4.42
mp-8830,NaRhO2,2.63,1.38,10.99,6.92
mp-935811,KNbO3,2.62,1.42,7.94,6.89
mp-9583,K2ZnF4,1.47,4.3,9.06,2.15
mp-8235,K2SiP2,2.34,1.21,10.27,5.47
mp-9198,Fe(SiP)4,4.12,1.02,20.85,17.0
mp-10919,Rb2PtC2,2.53,1.14,11.98,6.4
mp-14232,LiBO2,1.71,7.28,8.16,2.93
mp-29750,CsMgBr3,1.72,4.04,10.89,2.97
mp-27837,NaHF2,1.3,6.81,4.9,1.7
mp-510625,CrCuO2,2.69,1.67,9.9,7.25
mp-4043,NbCu3Se4,2.72,1.36,7.74,7.38
mp-29091,Ti(CuS)4,3.13,1.43,10.78,9.83
mp-5811,CsPbF3,1.7,2.92,23.83,2.9
mp-9306,Sr2ZnN2,2.51,0.74,17.84,6.28
mp-4979,AlCuS2,2.57,1.69,8.68,6.62
mp-4452,Cd(GaS2)2,2.41,2.11,9.52,5.82
mp-34337,H4NCl,1.67,4.93,7.32,2.79
mp-3980,LiSbF6,1.42,4.93,5.51,2.01
mp-8277,Sr(CdP)2,3.49,0.71,22.74,12.15
mp-561238,AlFeF5,1.46,4.38,6.65,2.13
mp-581024,CsK2Sb,2.76,0.86,19.59,7.64
mp-6984,K2SiAs2,2.53,1.0,11.18,6.38
mp-4541,NaCuO2,2.41,0.49,9.15,5.79
mp-7233,La2SeO2,2.33,2.41,16.76,5.44
mp-553896,K3MoF6,1.42,3.35,2.7,2.02
mp-643101,Rb2H6Pt,1.64,4.06,5.76,2.67
mp-4666,CdSiP2,3.29,1.43,13.52,10.82
mp-3161,LiAlSi,3.94,0.11,19.23,15.55
mp-13097,NaZnAs,4.09,0.36,26.94,16.71
mp-697030,Mg2H6Ru,2.3,3.07,18.15,5.3
mp-7939,NaNbSe2,3.51,0.5,14.41,12.35
mp-23736,LiMgH3,1.99,4.05,10.97,3.95
mp-561800,KCrO2,2.09,2.93,9.64,4.38
mp-28069,Ca3AsCl3,2.11,1.84,11.24,4.46
mp-570213,LiMgBi,4.42,0.36,25.05,19.53
mp-19448,Ni3TeO6,2.17,1.69,10.07,4.73
mp-4342,KNbO3,2.38,1.48,12.26,5.68
mp-23067,K2PdCl6,1.89,1.2,9.85,3.57
mp-773137,KCaBi,2.71,0.83,14.75,7.33
mp-9200,K3AuO,2.23,0.56,13.99,4.96
mp-9819,RbAsF6,1.4,5.07,5.51,1.95
mp-23891,NaHO,1.53,2.8,4.89,2.34
mp-4511,La2SO2,2.26,3.06,16.88,5.12
mp-15788,LiYS2,2.42,1.92,21.16,5.84
mp-4730,Ga2HgSe4,2.96,0.92,14.14,8.78
mp-3915,BaHgO2,1.89,2.27,8.38,3.56
mp-3432,ScNiSb,4.29,0.27,22.4,18.37
mp-4495,KLiTe,2.12,2.41,8.86,4.49
mp-30247,Mg(HO)2,1.62,4.18,7.14,2.62
mp-867339,CsK2Bi,3.4,0.3,22.89,11.57
mp-29398,Cs2HfI6,1.95,2.21,12.36,3.8
mp-12992,BaTiO3,2.43,1.73,11.5,5.89
mp-12894,Y2SO2,2.26,2.99,15.09,5.1
mp-22957,SrClF,1.69,5.94,9.85,2.86
mp-557772,CsNiF3,1.52,5.36,17.7,2.31
mp-15776,Zn(GaSe2)2,2.77,1.4,11.03,7.68
mp-8280,Ba(MgAs)2,3.08,1.07,17.0,9.46
mp-961685,NaCaAs,2.56,1.58,10.71,6.53
mp-30056,CsCaBr3,1.72,4.39,19.82,2.97
mp-10485,BaLiSb,3.23,0.69,23.99,10.44
mp-22304,Cd(InSe2)2,2.76,0.95,11.36,7.61
mp-8255,CaPtF6,1.57,2.64,4.96,2.46
mp-28145,Rb2PdCl6,1.85,1.29,7.12,3.41
mp-33880,Sr(GaTe2)2,3.11,0.29,15.73,9.68
mp-3810,Hg(AsO3)2,2.27,0.71,14.48,5.13
mp-5621,NbCu3S4,2.53,1.66,6.73,6.41
mp-4782,CaSnF6,1.39,5.41,4.91,1.94
mp-540584,K2PdO2,2.07,1.37,10.13,4.29
mp-7575,LiZnN,3.25,0.51,20.4,10.54
mp-13658,RbNO3,1.51,3.09,8.53,2.29
mp-3759,MgGeO3,1.92,3.65,11.41,3.67
mp-29529,NaSnP,3.26,0.58,16.31,10.61
mp-571461,K4ZnAs2,2.26,0.73,8.87,5.11
mp-23009,Ca2BrN,2.23,2.43,14.39,4.96
mp-10474,NaPF6,1.29,7.01,3.34,1.67
mp-37091,Sr(AlTe2)2,2.71,1.45,12.95,7.34
mp-28650,CsBr2F,1.87,1.75,5.95,3.5
mp-7502,K2Sn2O3,2.21,1.23,10.63,4.88
mp-8622,Rb2PtSe2,2.42,1.0,10.15,5.88
mp-36248,H4BrN,1.75,4.05,7.56,3.06
mp-752753,SbO2F,2.06,1.43,12.54,4.26
mp-23737,KMgH3,1.88,2.46,9.45,3.55
mp-19218,Sr3Fe2O5,2.14,0.86,16.85,4.58
mp-4763,ZnSiP2,3.24,1.36,12.42,10.53
mp-15988,Li2CuSb,4.46,0.45,28.8,19.9
mp-8290,BaSnF6,1.53,4.99,10.45,2.35
mp-561317,Rb2NiF4,1.5,4.71,6.38,2.25
mp-8430,KLiS,1.91,3.06,8.68,3.66
mp-5858,CdPtF6,1.74,2.19,5.55,3.02
mp-8017,AlCuTe2,3.17,1.02,11.7,10.05
mp-23475,Rb2PbCl6,1.75,1.25,10.19,3.07
mp-510624,SrFeO3,7.31,0.33,70.86,53.41
mp-28163,K2PdF4,1.51,1.87,6.09,2.29
mp-15704,BeSiN2,2.14,3.56,8.53,4.57
mp-3159,Al2CdSe4,2.48,2.0,9.31,6.16
mp-643257,K2H4Pd,1.68,2.65,6.09,2.81
mp-22947,K2ReCl6,1.74,1.08,11.84,3.03
mp-24205,SrHI,1.97,3.59,7.37,3.87
mp-760403,CaCd3O4,2.46,0.19,20.01,6.07
mp-7089,KMgSb,2.8,1.27,12.97,7.82
mp-8207,Zn(PtO2)3,3.97,0.31,18.6,15.76
mp-10163,NaAlTe2,2.74,1.28,17.85,7.51
mp-19292,Co(AsO3)2,2.11,1.98,11.96,4.45
mp-28554,Ca2AsI,2.5,1.56,13.48,6.24
mp-7435,KCuSe,6.78,0.18,52.03,45.99
mp-644225,Sr2MgH6,2.17,2.73,17.36,4.7
mp-9295,TaCu3Te4,3.03,1.14,9.73,9.15
mp-24204,CaHI,2.03,3.53,7.83,4.1
mp-867192,Sr2AsAu,4.76,0.5,40.06,22.62
mp-22607,Zn(InSe2)2,2.79,0.99,11.5,7.8
mp-570099,RbVBr3,1.87,0.58,14.88,3.5
mp-8978,CsNbN2,2.77,1.52,27.92,7.66
mp-6951,RbCdF3,1.54,3.17,15.1,2.39
mp-34903,MgGeP2,3.1,1.5,12.04,9.61
mp-38220,RbNO3,1.46,3.01,5.15,2.13
mp-9791,Tl3AsS3,2.91,1.22,22.38,8.48
mp-4651,SrTiO3,2.54,1.85,7.8,6.43
mp-561078,Rb2CoF6,1.54,1.18,7.02,2.38
mp-27409,RbNiBr3,2.04,0.47,10.53,4.15
mp-4555,Ca(AsO3)2,1.9,3.29,10.65,3.63
mp-867168,Sr2SbAu,4.73,0.62,35.08,22.35
mp-23024,SrBrF,1.78,5.0,10.1,3.18
mp-4026,KCrS2,2.78,1.16,11.64,7.74
mp-5606,AlTlF4,1.64,4.25,96.91,2.71
mp-8812,Rb2GeF6,1.4,5.97,5.98,1.95
mp-8799,RbNaS,1.89,2.29,9.21,3.59
mp-5928,Al2CdS4,2.24,2.73,8.23,5.01
mp-5339,CsNaTe,2.08,1.97,9.21,4.32
mp-29208,Ca(MgBi)2,4.09,0.39,24.24,16.75
mp-7437,KZnP,2.92,0.84,13.05,8.52
mp-5962,NaMgAs,2.88,0.95,18.56,8.31
mp-18966,FeAgO2,2.69,1.17,13.44,7.22
mp-18814,MnCO3,1.79,3.46,8.89,3.19
mp-16236,KAgSe,2.66,0.48,18.25,7.08
mp-28591,Na4HgP2,2.45,0.88,10.11,6.0
mp-5077,NaLi2Sb,3.04,0.68,17.48,9.26
mp-28627,K4Br2O,1.64,0.99,11.22,2.7
mp-10086,YSF,2.41,1.31,17.56,5.82
mp-8276,Sr(ZnP)2,3.34,0.83,19.78,11.15
mp-21855,VCu3Se4,2.87,0.82,9.0,8.23
mp-3970,K2TiF6,1.5,4.73,10.09,2.26
mp-7421,KZnAs,5.89,0.28,40.07,34.68
mp-19147,NiCO3,1.88,3.4,6.85,3.53
mp-8217,Cs2GeF6,1.42,6.03,5.73,2.02
mp-3668,CdGeP2,3.67,0.65,16.12,13.44
mp-29149,Li4NCl,2.01,1.76,10.03,4.04
mp-2894,ScSnAu,4.63,0.12,23.01,21.44
mp-20042,TlInS2,3.14,0.47,45.63,9.85
mp-19299,CrBO3,2.17,2.3,8.5,4.71
mp-5380,Ca4P2O,2.71,1.27,31.26,7.37
mp-7824,K2ReF6,1.5,1.7,8.58,2.25
mp-33985,Ba(InTe2)2,2.94,0.87,14.13,8.64
mp-19378,CrAgO2,2.67,1.66,10.13,7.13
mp-644203,CsCaH3,1.85,3.15,9.46,3.42
mp-9125,Ca(SbO3)2,1.89,2.69,9.79,3.58
mp-5860,K2HgO2,1.75,2.08,6.88,3.05
mp-19384,Ni(AsO3)2,2.07,2.24,10.78,4.29
mp-7752,Sr3SbN,3.47,0.26,38.53,12.06
mp-7562,TaTl3S4,2.51,2.53,20.09,6.32
mp-5955,NaSbF6,1.32,4.89,3.47,1.73
mp-22978,Rb2MnCl4,1.69,1.29,11.03,2.85
mp-27833,Tl2TeCl6,1.98,2.57,5.15,3.94
mp-555403,K3WF6,1.42,2.62,2.6,2.01
mp-27361,Nb(SeCl)2,2.32,0.98,6.63,5.36
mp-8212,Cd(PtO2)3,4.17,0.23,19.26,17.37
mp-8579,Ba(AgS)2,2.74,0.88,19.77,7.51
mp-10550,SrMg2N2,2.48,1.69,18.54,6.17
mp-9384,CsAu3S2,2.16,2.35,14.52,4.66
mp-7041,CaHgO2,2.03,2.13,7.97,4.13
mp-8756,KLiSe,2.01,2.52,8.85,4.03
mp-556953,RbPS3,1.86,1.83,7.73,3.46
mp-9244,LiBC,3.42,0.85,17.14,11.67
mp-614013,CsSnI3,2.71,0.46,169.58,7.35
mp-9126,Sr(SbO3)2,1.86,2.78,9.47,3.45
mp-10418,RbSbO2,1.86,2.25,10.48,3.47
mp-27891,Bi2SO2,3.28,0.82,259.32,10.73
mp-3098,AlCuO2,2.36,1.81,9.6,5.56
mp-7027,InBO3,1.92,2.65,10.11,3.68
mp-33588,Ca2NF,2.14,1.69,18.06,4.58
mp-8278,Ba(MgP)2,2.9,1.14,16.32,8.42
mp-569779,ScSbPd,4.26,0.28,21.3,18.17
mp-34293,CsTaN2,2.5,2.15,16.94,6.24
mp-7938,KNbS2,3.26,0.81,12.25,10.62
mp-36111,LiMgP,2.64,1.54,11.86,6.97
mp-9820,CsAsF6,1.41,5.22,4.91,1.99
mp-866818,Ca2SnS4,2.34,1.08,9.0,5.48
mp-27362,Nb(SCl)2,2.15,1.51,5.73,4.64
mp-9911,K3SbS4,1.95,2.13,9.39,3.82
mp-5878,KZnF3,1.53,3.69,10.04,2.35
mp-13984,CdPdF6,1.86,1.78,6.23,3.44
mp-768368,K4I2O,1.72,1.26,7.66,2.96
mp-3595,ZnSiAs2,3.68,0.89,15.29,13.52
mp-505297,NbSbRu,4.8,0.37,38.63,23.05
mp-7848,AlPO4,1.46,5.66,3.78,2.14
mp-557158,CrMoF6,1.67,2.59,5.14,2.77
mp-569066,Cs2PdI6,2.54,0.19,12.14,6.43
mp-7771,Sr(CdAs)2,11.71,0.14,149.16,137.1
mp-27849,TiBrN,3.03,0.56,49.04,9.18
mp-28599,Na4Br2O,1.73,1.98,9.88,2.99
mp-27828,Cs2TiCl6,1.73,2.23,8.65,2.98
mp-12954,CuBS2,2.89,1.74,9.65,8.35
mp-570223,CsGeBr3,2.56,0.76,11.07,6.55
mp-3395,SrSeO3,1.84,3.7,29.11,3.39
mp-28237,RbLiBr2,1.66,4.32,12.95,2.75
mp-29342,Ca3PCl3,2.09,1.84,10.6,4.37
mp-9899,BaAgP,5.31,0.12,42.93,28.2
mp-23406,Cs2PtCl6,1.7,2.1,7.05,2.9
mp-27830,Cs2SeCl6,1.76,2.75,8.14,3.08
mp-14069,CsAlO2,1.8,4.27,15.17,3.23
mp-676284,YAgSe2,3.07,0.44,23.63,9.45
mp-28439,KSc2F7,1.56,5.71,8.32,2.42
mp-5328,CdPS3,2.28,1.75,10.37,5.21
mp-7650,RbScO2,2.01,3.45,20.92,4.05
mp-556424,RbVF3,1.54,2.45,6.42,2.37
mp-4497,Si2N2O,1.83,4.92,6.24,3.36
mp-8453,RbNaO,1.86,1.99,15.8,3.45
mp-34418,AgPF6,1.37,3.24,4.38,1.88
mp-19167,Rb2NiO2,1.7,2.78,7.32,2.89
mp-558749,RbMnF3,1.53,2.94,9.06,2.33
mp-9636,CsSbF6,1.41,5.09,5.07,2.0
mp-23074,BiOF,2.22,3.12,16.92,4.92
mp-5238,GaCuS2,2.98,0.71,11.55,8.9
mp-23499,K2SnCl6,1.66,2.46,16.44,2.76
mp-11019,GaCuO2,2.42,0.78,10.49,5.84
mp-27724,BPS4,1.81,2.26,4.06,3.26
mp-866062,HfSiRu2,7.16,0.17,81.95,51.23
mp-866141,TiFe2Si,6.11,0.4,66.11,37.31
mp-28110,Rb2PtI6,2.27,0.51,10.95,5.15
mp-4255,Ba(CuS)2,3.26,0.51,29.33,10.61
mp-30250,YAgO2,2.21,2.42,11.41,4.89
mp-558761,MnSnF6,1.5,2.41,5.63,2.25
mp-9479,Mg(AlSe2)2,2.32,1.05,8.1,5.4
mp-555911,TlAsF6,1.52,4.65,11.35,2.33
mp-7643,K2AgSb,2.71,1.19,12.62,7.37
mp-12442,KAuF6,1.57,2.11,6.46,2.47
mp-9517,SrTiN2,2.96,0.79,30.2,8.74
mp-8613,MnPS3,2.39,0.15,10.22,5.72
mp-558864,CrHgF6,1.8,1.42,9.15,3.26
mp-10165,KAlTe2,2.47,1.7,9.95,6.1
mp-7928,K2PtS2,2.31,1.23,9.94,5.33
mp-8407,Li3LaP2,3.46,0.61,31.35,12.0
mp-541899,CsCdBr3,1.81,2.9,18.54,3.28
mp-5033,Tl2SiF6,1.58,4.98,16.06,2.49
mp-3748,AlCuO2,2.36,1.8,9.6,5.56
mp-9571,Ca(ZnAs)2,3.79,0.39,24.27,14.4
mp-7100,LaOF,1.88,4.57,16.18,3.55
mp-7908,Al2ZnTe4,2.88,1.63,10.85,8.27
mp-27635,Rb2SnI6,2.18,0.12,19.96,4.75
mp-5479,RbAlF4,1.42,6.88,7.6,2.03
mp-752927,LiAgF2,1.83,1.68,16.27,3.35
mp-9566,Sr(MgSb)2,3.19,0.98,16.35,10.15
mp-9846,RbCaSb,2.49,1.5,12.37,6.18
mp-8176,RbTlO2,2.3,0.85,15.39,5.31
mp-8348,TlSbF6,1.52,4.33,12.66,2.31
mp-4175,ZnSnP2,3.62,0.7,15.58,13.09
mp-7173,ScSbPt,4.39,0.64,21.78,19.25
mp-3163,BaSnO3,2.34,0.37,22.51,5.47
mp-27546,CaClF,1.74,5.67,12.0,3.02
mp-10616,BaLiAs,3.23,0.6,25.62,10.45
mp-27369,RbGeCl3,1.67,3.76,8.45,2.8
mp-8716,K2MnSe2,2.09,0.99,9.2,4.37
mp-505825,Cs2PtC2,2.52,1.27,13.17,6.33
mp-23054,NaBiO3,2.13,1.09,10.54,4.52
mp-27304,K2MnCl6,1.86,1.1,9.52,3.46
mp-570008,Sr3BiN,4.48,0.26,46.59,20.08
mp-5431,BaTeO3,1.95,2.71,19.49,3.82
mp-11023,ScAuO2,2.67,1.76,15.27,7.15
mp-9008,RbTeAu,2.45,1.11,10.76,6.01
mp-7922,CaPdF6,1.64,2.11,5.55,2.68
mp-29584,K4BeAs2,2.16,0.89,8.81,4.68
mp-4961,Na2HgO2,1.9,1.65,7.2,3.62
mp-28698,Na4IrO4,1.96,0.43,9.04,3.83
mp-19409,Mn(AsO3)2,2.03,1.72,11.93,4.1
mp-10644,TaTl3Se4,2.7,2.25,21.42,7.29
mp-9386,CsAu3Se2,2.27,2.17,12.26,5.16
mp-10322,BaHfN2,2.7,1.25,29.96,7.27
mp-31454,TaSbRu,4.44,0.67,32.43,19.7
mp-4081,TaCu3Se4,2.64,1.6,7.32,6.99
mp-29025,Li5Br2N,1.93,2.08,8.48,3.73
mp-23048,CsMnBr3,1.82,1.29,12.47,3.33
mp-7434,NaCuTe,3.07,0.63,15.49,9.44
mp-9631,AlAgO2,2.42,1.41,10.73,5.84
mp-776230,LiFeF4,1.57,3.14,8.9,2.46
mp-29763,RbMnBr3,1.83,1.18,20.51,3.34
mp-7738,LaSeF,2.51,1.73,21.24,6.31
mp-9672,K2NiP2,2.94,0.64,13.49,8.63
mp-28944,BiTeCl,2.75,1.51,21.52,7.58
mp-30847,TiSnPt,4.56,0.79,26.32,20.81
mp-20329,InAgO2,2.36,0.24,9.2,5.59
mp-10402,TiTl2F6,1.75,3.87,42.08,3.07
mp-12558,LiMgAs,2.83,1.37,12.97,8.02
mp-7430,Ca(CdSb)2,6.26,0.11,51.78,39.14
mp-6973,CsNaS,1.96,2.41,9.7,3.84
mp-9010,RbAuS,2.04,1.99,12.2,4.16
mp-7472,RbAuO2,1.89,1.46,5.52,3.57
mp-560008,PNF2,1.47,5.62,3.24,2.17
mp-13949,Cd(GaTe2)2,3.17,1.04,13.2,10.02
mp-30993,LaIO,2.11,3.29,12.76,4.47
mp-27419,LiBiF6,1.56,2.54,6.46,2.44
mp-557519,CaCrF6,1.54,1.69,6.06,2.36
mp-7940,KNbSe2,3.41,0.69,13.3,11.63
mp-37906,LiMgN,2.26,2.27,10.71,5.12
mp-8001,LiAlO2,1.76,6.12,12.78,3.09
mp-8393,Tl3SbS3,2.95,1.59,21.36,8.71
mp-10182,LiZnP,3.17,1.34,16.32,10.07
mp-11917,Mg(BeN)2,2.17,4.07,12.12,4.71
mp-5175,NaInO2,1.98,1.91,11.07,3.94
mp-6920,KNO3,1.47,2.96,4.9,2.15
mp-35311,ZnCrF6,1.72,1.55,7.89,2.96
mp-557373,Cu2WS4,2.45,1.55,6.35,6.02
mp-25005,MnSnO3,2.15,0.88,13.04,4.61
mp-28473,CClF3,1.37,6.61,2.22,1.88
mp-12908,ScAgSe2,3.51,0.68,28.61,12.29
mp-28302,K4CdP2,2.22,0.82,8.6,4.94
mp-866132,Na2TlSb,6.03,0.38,172.52,36.37
mp-559161,CrCdF6,1.67,1.66,7.01,2.77
mp-570172,HgIBr,1.92,2.35,10.78,3.69
mp-13903,ZnSnF6,1.53,3.71,6.3,2.33
mp-37153,AgAsF6,1.51,1.68,4.29,2.29
mp-865101,NaLi2Bi,4.06,0.33,25.37,16.51
mp-22937,Na4I2O,1.86,2.21,8.27,3.46
mp-3772,Cd(GaSe2)2,2.73,1.35,11.06,7.44
mp-10748,TaCu3S4,2.46,1.92,6.38,6.07
mp-27418,KAuO2,2.08,1.07,9.43,4.31
mp-9657,LiAsO3,1.9,3.39,11.35,3.62
mp-760375,Li3VS4,1.78,1.88,4.15,3.16
mp-32403,Ni(HO)2,1.82,3.13,6.06,3.3
mp-4608,KPF6,1.36,7.02,5.95,1.86
mp-13983,ZnPdF6,2.02,1.59,7.17,4.08
mp-20282,CsPbF3,1.69,3.34,19.98,2.87
mp-7921,MgPdF6,1.76,1.83,5.56,3.08
mp-11739,KLaTe2,2.47,1.7,13.36,6.12
mp-5513,Tl3VS4,2.72,1.95,23.39,7.38
mp-28553,Ca2IN,2.38,2.35,15.48,5.67
mp-10401,Tl2SnF6,1.69,4.29,41.75,2.84
mp-5038,CsGaS2,1.9,3.05,10.2,3.62
mp-31149,Ca3BiN,3.99,0.37,34.28,15.9
mp-2964,NaNO2,1.49,2.42,5.27,2.21
mp-29521,RbBiO2,1.96,2.2,12.09,3.84
mp-23818,BaLiH3,2.23,2.21,15.23,4.98
mp-4266,KAsF6,1.4,4.95,6.62,1.95
mp-3654,RbCaF3,1.46,6.4,15.28,2.12
mp-24964,SrFeO2,2.27,0.4,5.14,5.14
mp-7438,KZnSb,4.98,0.45,30.09,24.78
mp-27294,Ca3AsBr3,2.24,1.67,11.42,5.01
mp-30315,Ca3BN3,2.32,0.57,18.06,5.39
mp-12317,SrCN2,1.77,3.21,8.1,3.15
mp-7639,Na2CuP,3.25,0.66,19.18,10.57
mp-28243,RbLiCl2,1.59,5.15,12.25,2.52
mp-4482,NaSbO3,1.82,2.7,8.06,3.3
mp-23038,CsVBr3,1.86,0.65,9.64,3.48
mp-8623,K2Te2Pt,2.66,0.79,12.08,7.09
mp-27839,K2TiCl6,1.79,2.08,12.73,3.21
mp-9144,LiAsF6,1.42,5.14,5.96,2.01
mp-557257,KVF3,1.5,2.07,8.59,2.26
mp-28075,K2Ti2O5,1.88,3.23,11.38,3.55
mp-29151,Li5NCl2,1.91,1.94,11.54,3.65
mp-7067,Ca(CdAs)2,6.28,0.22,52.52,39.5
mp-8714,Rb2MnS2,2.0,1.11,9.06,4.0
mp-8861,Rb2MgF4,1.45,6.23,6.46,2.11
mp-760417,Rb4I2O,1.71,0.85,8.7,2.94
mp-24292,Sr2H6Ru,2.07,2.23,11.02,4.28
mp-10226,NaYS2,2.27,2.28,14.12,5.15
mp-552729,KIO3,1.9,2.57,11.11,3.59
mp-16764,RbYTe2,2.53,1.36,13.34,6.42
mp-8621,K2PtSe2,2.46,0.93,10.71,6.05
mp-9565,Ca(MgSb)2,3.26,0.79,17.54,10.65
mp-27882,Cs2GeCl6,1.65,2.21,7.16,2.73
mp-27315,CaTiF6,1.46,4.61,6.38,2.13
mp-7569,KAsF6,1.39,4.9,6.54,1.95
mp-20727,Sb2PbO6,2.11,1.93,17.16,4.45
mp-11020,GaAgO2,2.48,0.58,11.44,6.13
mp-11824,Ca3PN,2.96,0.8,50.66,8.74
mp-23021,K2ReBr6,1.89,0.97,15.25,3.59
mp-13907,CdSnF6,1.5,3.85,5.75,2.26
mp-8279,Ba(CdP)2,3.62,0.68,24.56,13.08
mp-9567,Ba(MgSb)2,3.26,0.85,17.37,10.66
mp-22628,CsNO3,1.64,3.07,17.31,2.68
mp-23046,SrIF,1.83,4.31,7.73,3.36
mp-6980,ScCuS2,3.25,0.87,20.71,10.55
mp-560023,NiSnF6,1.53,4.09,5.22,2.34
